"","decimalLatitude","decimalLongitude","year"
"158",-51.2941,-60.5388,2008
"159",-51.7379,-61.307,2008
"160",-51.253403,-60.230537,2008
"161",-51.31,-60.238,2008
"162",-51.2941,-60.5388,2008
"163",-51.3077,-60.2333,2008
"164",-51.3077,-60.2333,2008
"165",-51.31,-60.238,2008
"166",-51.7304,-61.3037,2008
"167",-51.3535,-60.6881,2008
"168",-51.2941,-60.5388,2008
"169",-51.2941,-60.5388,2008
"170",-51.3649,-60.694,2008
"171",-51.3365,-60.7239,2008
"172",-51.3486,-60.6849,2008
"173",-51.3486,-60.6849,2008
"174",-51.7379,-61.307,2008
"175",-51.7379,-61.307,2008
"176",-51.7379,-61.307,2008
"177",-51.7379,-61.307,2008
"178",-51.7379,-61.307,2008
"179",-51.7379,-61.307,2008
"180",-51.7379,-61.307,2008
"181",-51.7379,-61.307,2008
"182",-51.7379,-61.307,2008
"183",-51.7379,-61.307,2008
"184",-51.7379,-61.307,2008
"185",-51.7379,-61.307,2008
"186",-51.2811,-60.5647,2008
"187",-51.7379,-61.307,2008
"188",-51.3568,-60.705,2008
"189",-51.7379,-61.307,2008
"190",-51.7379,-61.307,2008
"191",-51.7379,-61.307,2008
"192",-51.7379,-61.307,2008
"193",-51.7379,-61.307,2008
"194",-51.3077,-60.2333,2009
"195",-51.2939,-60.5572,2009
"196",-51.3077,-60.2333,2009
"197",-51.2939,-60.5572,2009
"198",-51.2939,-60.5572,2009
"199",-51.2939,-60.5572,2009
"200",-51.3077,-60.2333,2009
"201",-51.3077,-60.2333,2009
"202",-51.2941,-60.5388,2009
"203",-51.2941,-60.5388,2009
"204",-51.3619,-60.0819,2009
"205",-51.6764,-57.8084,2009
"206",-51.7158,-61.3121,2009
"207",-51.7213,-61.3006,2009
"208",-51.686,-57.7633,2009
"209",-51.686,-57.7633,2009
"210",-51.3077,-60.2333,2009
"211",-51.3077,-60.2333,2009
"212",-51.2804,-60.5631,2009
"213",-51.7379,-61.307,2009
"214",-51.3521,-60.6857,2009
"215",-51.5955,-60.7197,2009
"216",-51.7379,-61.307,2009
"217",-51.7379,-61.307,2009
"218",-51.7379,-61.307,2009
"219",-51.7379,-61.307,2009
"220",-54.4673,-73.0138,2009
"221",-51.6706,-61.2399,2009
"222",-54.4901,-73.0265,2009
"223",-51.7714,-58.84,2009
"224",-51.7714,-58.84,2009
"225",-51.3568,-60.705,2009
"226",-51.7379,-61.307,2009
"227",-51.2941,-60.5388,2009
"228",-51.7379,-61.307,2009
"229",-51.7379,-61.307,2009
"230",-51.7379,-61.307,2009
"231",-51.7379,-61.307,2009
"232",-51.7133,-59.4011,2009
"233",-52.435501,-59.087906,2009
"234",-52.435501,-59.087906,2009
"235",-52.435501,-59.087906,2009
"236",-52.435501,-59.087906,2009
"237",-52.435501,-59.087906,2009
"238",-52.435501,-59.087906,2009
"239",-51.3568,-60.705,2009
"240",-51.3077,-60.2333,2009
"241",-51.7379,-61.307,2009
"242",-51.2941,-60.5388,2010
"243",-51.3077,-60.2333,2010
"244",-51.0358,-61.2158,2010
"245",-51.3077,-60.2333,2010
"246",-51.3077,-60.2333,2010
"247",-51.2941,-60.5388,2010
"248",-52.4291,-59.0922,2010
"249",-52.4291,-59.0922,2010
"250",-51.3077,-60.2333,2010
"251",-51.0358,-61.2158,2010
"252",-51.3077,-60.2333,2010
"253",-51.0358,-61.2158,2010
"254",-51.2941,-60.5388,2010
"255",-51.3077,-60.2333,2010
"256",-51.3077,-60.2333,2010
"257",-51.2941,-60.5388,2010
"258",-51.3077,-60.2333,2010
"259",-51.0358,-61.2158,2010
"260",-51.3077,-60.2333,2010
"261",-51.308,-60.2232,2010
"262",-51.3087,-60.5305,2010
"263",-51.0355,-61.2137,2010
"264",-51.6911,-57.8657,2010
"265",-51.3077,-60.2333,2010
"266",-51.3077,-60.2333,2010
"267",-51.0358,-61.2158,2010
"268",-51.2941,-60.5388,2010
"269",-51.3042,-60.0943,2010
"270",-51.0358,-61.2158,2010
"271",-51.7379,-61.307,2010
"272",-51.3274,-60.192,2010
"273",-51.2941,-60.5388,2010
"274",-51.7504,-61.2854,2010
"275",-49.1922,-75.398,2010
"276",-49.9653,-74.9839,2010
"277",-54.7874,-68.2154,2010
"278",-54.7874,-68.2154,2010
"279",-54.7874,-68.2154,2010
"280",-54.787817,-68.247835,2010
"281",-51.0358,-61.2158,2010
"282",-51.7379,-61.307,2010
"283",-51.7379,-61.307,2010
"284",-51.7379,-61.307,2010
"285",-52.2816,-58.6121,2010
"286",-51.2834,-59.6571,2010
"287",-52.2816,-58.6121,2010
"288",-55.9646,-67.2858,2010
"289",-51.2941,-60.5388,2010
"290",-51.7379,-61.307,2010
"291",-51.7379,-61.307,2010
"292",-51.6034,-57.8743,2010
"293",-51.3568,-60.705,2010
"294",-55.9799,-67.2882,2010
"295",-51.2941,-60.5388,2010
"296",-51.2941,-60.5388,2011
"297",-51.7934,-58.2569,2011
"298",-55.975,-67.2789,2011
"299",-51.6957,-57.855,2011
"300",-51.6764,-57.8084,2011
"301",-51.6957,-57.855,2011
"302",-56.514,-68.7112,2011
"303",-51.712294,-59.498621,2011
"304",-51.2941,-60.5388,2011
"305",-51.2941,-60.5388,2011
"306",-51.7379,-61.307,2011
"307",-51.2941,-60.5388,2011
"308",-51.3568,-60.705,2011
"309",-51.3568,-60.705,2011
"310",-51.2941,-60.5388,2011
"311",-51.3066,-60.239,2011
"312",-51.3066,-60.239,2011
"313",-51.639611,-61.310408,2012
"314",-51.673805,-61.366464,2012
"315",-51.612642,-61.394508,2012
"316",-52.2227,-58.8819,2012
"317",-52.4291,-59.0922,2012
"318",-51.3421,-60.6908,2012
"319",-51.7379,-61.307,2012
"320",-51.0358,-61.2158,2012
"321",-51.7379,-61.307,2012
"322",-51.2941,-60.5388,2012
"323",-51.0358,-61.2158,2012
"324",-51.3568,-60.705,2012
"325",-51.2941,-60.5388,2012
"326",-51.3568,-60.705,2012
"327",-51.2941,-60.5388,2012
"328",-51.3568,-60.705,2012
"329",-55.975,-67.2789,2012
"330",-52.4291,-59.0922,2012
"331",-51.2941,-60.5388,2012
"332",-51.2941,-60.5388,2012
"333",-51.2941,-60.5388,2012
"334",-51.3568,-60.705,2012
"335",-51.2941,-60.5388,2012
"336",-51.3568,-60.705,2012
"337",-51.2941,-60.5388,2012
"338",-52.4291,-59.0922,2012
"339",-54.878,-67.3313,2012
"340",-51.7379,-61.307,2012
"341",-51.7379,-61.307,2012
"342",-51.7379,-61.307,2012
"343",-51.7379,-61.307,2012
"344",-52.4291,-59.0922,2012
"345",-51.7379,-61.307,2012
"346",-52.4291,-59.0922,2012
"347",-51.0358,-61.2158,2012
"348",-52.4321,-59.0955,2012
"349",-51.0374,-61.2097,2012
"350",-51.6951,-61.256,2012
"351",-54.8109,-68.299,2012
"352",-52.4291,-59.0922,2012
"353",-51.7379,-61.307,2012
"354",-51.3568,-60.705,2012
"355",-52.2227,-58.8819,2012
"356",-51.3077,-60.2333,2012
"357",-51.3568,-60.705,2012
"358",-51.7213,-61.3006,2012
"359",-51.2941,-60.5388,2012
"360",-52.4291,-59.0922,2012
"361",-51.7158,-61.3121,2012
"362",-54.8374,-68.5594,2012
"363",-51.2941,-60.5388,2012
"364",-52.4291,-59.0922,2012
"365",-51.7379,-61.307,2012
"366",-51.2941,-60.5388,2013
"367",-51.3077,-60.2333,2013
"368",-51.2941,-60.5388,2013
"369",-51.31,-60.2174,2013
"370",-51.3077,-60.2333,2013
"371",-51.693,-60.6335,2013
"372",-55.975,-67.2789,2013
"373",-51.2941,-60.5388,2013
"374",-51.0358,-61.2158,2013
"375",-51.309,-60.2373,2013
"376",-51.2941,-60.5388,2013
"377",-55.9624,-67.2242,2013
"378",-51.692,-57.8665,2013
"379",-51.6919,-57.8665,2013
"380",-52.45,-59.0708,2013
"381",-51.3077,-60.2333,2013
"382",-52.537405,-59.167679,2013
"383",-51.309155,-60.523853,2013
"384",-51.349,-60.713,2013
"385",-51.309271,-60.521522,2013
"386",-51.349402,-60.713482,2013
"387",-51.307961,-60.520184,2013
"388",-51.683532,-61.214785,2013
"389",-51.233052,-60.439408,2013
"390",-51.7379,-61.307,2013
"391",-51.0358,-61.2158,2013
"392",-52.4291,-59.0922,2013
"393",-51.7379,-61.307,2013
"394",-54.8708,-64.6485,2013
"395",-51.3568,-60.705,2013
"396",-51.3568,-60.705,2013
"397",-51.0358,-61.2158,2013
"398",-51.7379,-61.307,2013
"399",-51.3203,-59.9753,2013
"400",-51.3568,-60.705,2013
"401",-52.4291,-59.0922,2013
"402",-51.7482,-58.178,2014
"403",-51.3568,-60.705,2014
"404",-51.2941,-60.5388,2014
"405",-51.3077,-60.2333,2014
"406",-51.365,-60.6332,2014
"407",-51.2532,-60.5949,2014
"408",-51.2918,-60.5555,2014
"409",-51.3523,-60.6489,2014
"410",-51.3568,-60.705,2014
"411",-51.2941,-60.5388,2014
"412",-51.3274,-60.192,2014
"413",-51.3568,-60.705,2014
"414",-51.0357,-61.2138,2014
"415",-51.7084,-61.2943,2014
"416",-51.3097,-60.5216,2014
"417",-51.3079,-60.2419,2014
"418",-51.3496,-60.6854,2014
"419",-51.3496,-60.6854,2014
"420",-51.7084,-61.2943,2014
"421",-51.3097,-60.5216,2014
"422",-51.4798,-57.8338,2014
"423",-53.753,-72.2749,2014
"424",-52.2227,-58.8819,2014
"425",-51.0358,-61.2158,2014
"426",-51.3657,-60.3895,2014
"427",-55.9624,-67.2242,2014
"428",-51.2953,-60.5559,2014
"429",-51.3496,-60.6854,2014
"430",-52.435501,-59.087906,2014
"431",-51.307667,-60.234776,2014
"432",-54.987199,-64.67535,2014
"433",-51.2942,-60.5571,2014
"434",-51.315081,-60.253941,2014
"435",-51.315081,-60.253941,2014
"436",-51.295905,-60.556268,2014
"437",-51.315081,-60.253941,2014
"438",-51.295905,-60.556268,2014
"439",-51.295905,-60.556268,2014
"440",-51.315081,-60.253941,2014
"441",-51.295905,-60.556268,2014
"442",-51.3077,-60.2333,2014
"443",-51.3077,-60.2333,2014
"444",-51.3077,-60.2333,2014
"445",-51.3077,-60.2333,2014
"446",-52.4291,-59.0922,2014
"447",-52.4291,-59.0922,2014
"448",-51.3077,-60.2333,2014
"449",-51.3077,-60.2333,2014
"450",-52.4291,-59.0922,2014
"451",-52.2227,-58.8819,2014
"452",-52.4291,-59.0922,2014
"453",-52.4291,-59.0922,2014
"454",-52.4291,-59.0922,2014
"455",-52.4291,-59.0922,2014
"456",-51.3077,-60.2333,2014
"457",-52.4291,-59.0922,2014
"458",-51.7379,-61.307,2014
"459",-51.7213,-61.3006,2014
"460",-51.7041,-61.2871,2014
"461",-51.7158,-61.3121,2014
"462",-51.0358,-61.2158,2014
"463",-51.3077,-60.2333,2014
"464",-51.3568,-60.705,2014
"465",-51.3274,-60.192,2014
"466",-51.3274,-60.192,2014
"467",-51.3568,-60.705,2014
"468",-51.3568,-60.705,2014
"469",-51.3662,-60.6324,2014
"470",-51.6963,-61.269,2014
"471",-51.0387,-61.2237,2014
"472",-51.7379,-61.307,2014
"473",-51.7041,-61.2871,2014
"474",-51.7213,-61.3006,2014
"475",-51.7158,-61.3121,2014
"476",-51.0358,-61.2158,2014
"477",-52.4291,-59.0922,2014
"478",-51.2941,-60.5388,2014
"479",-51.2941,-60.5388,2014
"480",-51.2941,-60.5388,2014
"481",-54.951615,-64.605061,2014
"482",-51.3568,-60.705,2014
"483",-52.2227,-58.8819,2015
"484",-51.7213,-61.3006,2015
"485",-51.2941,-60.5388,2015
"486",-51.7406,-61.2611,2015
"487",-51.3619,-60.0819,2015
"488",-52.2227,-58.8819,2015
"489",-52.4291,-59.0922,2015
"490",-51.3509,-60.679,2015
"491",-51.3568,-60.705,2015
"492",-51.3568,-60.705,2015
"493",-51.3568,-60.705,2015
"494",-51.6957,-57.855,2015
"495",-51.2941,-60.5388,2015
"496",-51.348,-60.687,2015
"497",-51.348,-60.687,2015
"498",-51.2941,-60.5388,2015
"499",-51.3568,-60.705,2015
"500",-51.3496,-60.6854,2015
"501",-51.3077,-60.2333,2015
